objectid,site_no,positive_m,designatio,site_name,mastersite,globalid,created_user,created_date,last_edited_user,last_edited_date,st_areashape,st_perimetershape
82,244,n,LWS,Parson Cross Park, ,{3F9D1B48-72EC-4DE9-8E8E-A5B4FBEBAD04},,,,,56264.3246103523,1080.82980197505
83,211,n,LWS,Brook at Ecclesfield Common, ,{825E4BAF-2D30-4645-A39D-4FA0010A6A25},,,,,9864.2083199882,1566.3025466457
84,208,n,LWS,Ecclesfield Allotments, ,{79C547DF-2737-4264-8F5C-633036E5FF0B},,,,,4171.44872003732,266.707788681857
85,236,n,LWS,Shaw Hill Farm, ,{2889153B-632B-4E7A-B758-4DF7E12161DD},,,,,31970.593785626,803.528725894344
86,121,y,LWS,Oak Brook (inc Smith's Wood), ,{AB4546AE-BBF6-48B4-98AC-5802FBE6E9D8},,,,,38677.6141563867,1642.83423942651
87,128,y,LWS,Crookes Valley Park, ,{BF2EDCDB-0109-4C4C-AA42-561D35DB525D},,,,,30564.2293246231,1136.2387755431
88,132,y,LWS,"Sunny Bank, Broomhall", ,{C69C8D39-886A-4426-A844-58630AB8A331},,,,,6809.44790672899,423.762077982018
89,237,y,LWS,Cowper Avenue Greenspace, ,{DFC2F1B1-2185-453B-BF26-A7C46914372B},,,,,21592.4178649309,1045.64329114097
90,212,y,LWS,Hartley Brook & Sheffield Lane Dikes, ,{09F8B1D3-A321-403F-A2EE-A099CE092206},,,,,276155.460199057,7658.74991019453
91,215,n,LWS,Blackburn Brook, ,{646AC19D-9768-4646-988F-327ED9A5B911},,,,,156699.626381696,11603.4833032947
92,213,y,LWS,Bagley Dike Wood & Northern General Hospital Woods, ,{012F2753-9D0D-4854-B57B-121AC558F8F4},,,,,61463.0940081041,2340.29061375606
93,214,y,LWS,Firth Park West, ,{E2F7EF17-90DC-4022-9ADF-F57948C7EAD0},,,,,34475.1993086835,1112.23060410798
94,217,y,LWS,Grimesthorpe Green Space, ,{10ED4D1A-9A4B-4581-A70C-5324B8CE8155},,,,,16335.1906010832,975.695884837686
95,216,y,LWS,Firth Park East, ,{E06AF499-B1D5-4B20-B802-851B8A8169AE},,,,,35184.8947299966,1228.63078720869
96,75,n,LWS,Burngreave Recreation Ground, ,{ECA14210-273F-4CA0-B041-5262787BB25B},,,,,15365.6621410673,808.574116336168
97,74,n,LWS,Cattle Dock Sidings, ,{3D65BC3B-51FE-4447-8B2C-2DC8EBD28748},,,,,12831.6656265173,827.757276044408
98,95,y,LWS,River Don (City Centre to Blackburn Meadows),Lower River Don,{A19BF0F2-6875-48A6-84BC-B10A7F7C27C7},,,,,230816.540303524,13532.0405600963
99,81,y,LWS,Petre Street Urban Wildlife Zone, ,{5E1BCEDF-34AE-401B-9A44-3D7DACFBE140},,,,,26507.1779095206,1896.14574019143
100,84,n,LWS,Wood Hill (Smith's Field), ,{82EBEE8F-0FCE-4EF4-AA84-93FAFA94E1A9},,,,,34300.6489988204,1056.63750608101
101,97,n,LWS,Nunnery Triangle, ,{9C3A7B8D-5E6C-439B-B358-FD973E7AE436},,,,,52033.2059097431,1471.88003069306
102,85,y,LWS,Sky Edge, ,{A8719954-9B76-4B1F-BCB2-5165CA9F40B3},,,,,150950.782103978,3689.30211549537
